t_rel_s,sim_joint6_deg,real_joint6_deg
0.0000,-31.5334,-31.5329
0.0040,-31.5325,-31.5329
0.0080,-31.5332,-31.5329
0.0120,-31.5324,-31.5329
0.0160,-31.5333,-31.5329
0.0200,-31.5323,-31.5329
0.0240,-31.5332,-31.5329
0.0280,-31.5325,-31.5329
0.0320,-31.5332,-31.5329
0.0360,-31.5324,-31.5329
0.0400,-31.5333,-31.5329
0.0440,-31.5325,-31.5329
0.0480,-31.5333,-31.5329
0.0520,-31.5325,-31.5329
0.0560,-31.5331,-31.5329
0.0600,-31.5324,-31.5329
0.0640,-31.5333,-31.5329
0.0680,-31.5324,-31.5329
0.0720,-31.5332,-31.5329
0.0760,-31.5325,-31.5329
0.0800,-31.5333,-31.5329
0.0840,-31.5325,-31.5329
0.0880,-31.5332,-31.5329
0.0920,-31.5324,-31.5329
0.0960,-31.5333,-31.5329
0.1000,-31.5324,-31.5329
0.1040,-31.5332,-31.5329
0.1080,-31.5324,-31.5329
0.1120,-31.5333,-31.5329
0.1160,-31.5324,-31.5329
0.1200,-31.5333,-31.5329
0.1240,-31.5324,-31.5329
0.1280,-31.5333,-31.5329
0.1320,-31.5323,-31.5329
0.1360,-31.5333,-31.5329
0.1400,-31.5325,-31.5329
0.1440,-31.5333,-31.5329
0.1480,-31.5323,-31.5329
0.1520,-31.5332,-31.5329
0.1560,-31.5325,-31.5329
0.1600,-31.5333,-31.5329
0.1640,-31.5324,-31.5329
0.1680,-31.5332,-31.5329
0.1720,-31.5324,-31.5329
0.1760,-31.5333,-31.5329
0.1800,-31.5324,-31.5329
0.1840,-31.5333,-31.5329
0.1880,-31.5325,-31.5329
0.1920,-31.5332,-31.5329
0.1960,-31.5324,-31.5329
0.2000,-31.5332,-31.5329
0.2040,-31.5325,-31.5329
0.2080,-31.5333,-31.5329
0.2120,-31.5324,-31.5329
0.2160,-31.5332,-31.5329
0.2200,-31.5324,-31.5329
0.2240,-31.5333,-31.5329
0.2280,-31.5325,-31.5329
0.2320,-31.5332,-31.5329
0.2360,-31.5324,-31.5329
0.2400,-31.5333,-31.5329
0.2440,-31.5325,-31.5329
0.2480,-31.5332,-31.5329
0.2520,-31.5324,-31.5329
0.2560,-31.5333,-31.5329
0.2600,-31.5324,-31.5329
0.2640,-31.5332,-31.5329
0.2680,-31.5325,-31.5329
0.2720,-31.5332,-31.5329
0.2760,-31.5324,-31.5329
0.2800,-31.5333,-31.5329
0.2840,-31.5324,-31.5329
0.2880,-31.5333,-31.5329
0.2920,-31.5324,-31.5329
0.2960,-31.5333,-31.5329
0.3000,-31.5325,-31.5329
0.3040,-31.5332,-31.5329
0.3080,-31.5325,-31.5329
0.3120,-31.5333,-31.5329
0.3160,-31.5324,-31.5329
0.3200,-31.5333,-31.5329
0.3240,-31.5324,-31.5329
0.3280,-31.5333,-31.5329
0.3320,-31.5324,-31.5329
0.3360,-31.5333,-31.5329
0.3400,-31.5325,-31.5329
0.3440,-31.5333,-31.5329
0.3480,-31.5324,-31.5329
0.3520,-31.5332,-31.5329
0.3560,-31.5324,-31.5329
0.3600,-31.5333,-31.5329
0.3640,-31.5324,-31.5329
0.3680,-31.5332,-31.5329
0.3720,-31.5325,-31.5329
0.3760,-31.5332,-31.5329
0.3800,-31.5324,-31.5329
0.3840,-31.5333,-31.5329
0.3880,-31.5325,-31.5329
0.3920,-31.5333,-31.5329
0.3960,-31.5324,-31.5329
0.4000,-31.5332,-31.5329
0.4040,-31.5325,-31.5329
0.4080,-31.5333,-31.5329
0.4120,-31.5325,-31.5329
0.4160,-31.5332,-31.5329
0.4200,-31.5324,-31.5329
0.4240,-31.5333,-31.5329
0.4280,-31.5324,-31.5329
0.4320,-31.5332,-31.5329
0.4360,-31.5325,-31.5329
0.4400,-31.5333,-31.5329
0.4440,-31.5323,-31.5329
0.4480,-31.5333,-31.5329
0.4520,-31.5325,-31.5329
0.4560,-31.5333,-31.5329
0.4600,-31.5324,-31.5329
0.4640,-31.5332,-31.5329
0.4680,-31.5325,-31.5329
0.4720,-31.5333,-31.5329
0.4760,-31.5325,-31.5329
0.4800,-31.5333,-31.5329
0.4840,-31.5326,-31.5329
0.4880,-31.5333,-31.5329
0.4920,-31.5326,-31.5329
0.4960,-31.5333,-31.5329
0.5000,-31.5326,-31.5329
0.5040,-31.5333,-31.5329
0.5080,-31.5325,-31.5329
0.5120,-31.5333,-31.5329
0.5160,-31.5326,-31.5329
0.5200,-31.5333,-31.5329
0.5240,-31.5326,-31.5329
0.5280,-31.5333,-31.5329
0.5320,-31.5325,-31.5329
0.5360,-31.5333,-31.5329
0.5400,-31.5325,-31.5329
0.5440,-31.5333,-31.5329
0.5480,-31.5327,-31.5329
0.5520,-31.5333,-31.5329
0.5560,-31.5326,-31.5329
0.5600,-31.5334,-31.5329
0.5640,-31.5326,-31.5329
0.5680,-31.5333,-31.5329
0.5720,-31.5326,-31.5329
0.5760,-31.5333,-31.5329
0.5800,-31.5327,-31.5329
0.5840,-31.5332,-31.5329
0.5880,-31.5326,-31.5329
0.5920,-31.5333,-31.5329
0.5960,-31.5326,-31.5329
0.6000,-31.5332,-31.5329
0.6040,-31.5327,-31.5329
0.6080,-31.5333,-31.5329
0.6120,-31.5326,-31.5329
0.6160,-31.5332,-31.5329
0.6200,-31.5326,-31.5329
0.6240,-31.5333,-31.5329
0.6280,-31.5327,-31.5329
0.6320,-31.5332,-31.5329
0.6360,-31.5326,-31.5329
0.6400,-31.5333,-31.5329
0.6440,-31.5327,-31.5329
0.6480,-31.5332,-31.5329
0.6520,-31.5327,-31.5329
0.6560,-31.5333,-31.5329
0.6600,-31.5326,-31.5329
0.6640,-31.5332,-31.5329
0.6680,-31.5326,-31.5329
0.6720,-31.5332,-31.5329
0.6760,-31.5326,-31.5329
0.6800,-31.5332,-31.5329
0.6840,-31.5326,-31.5329
0.6880,-31.5333,-31.5329
0.6920,-31.5326,-31.5329
0.6960,-31.5332,-31.5329
0.7000,-31.5327,-31.5329
0.7040,-31.5333,-31.5329
0.7080,-31.5327,-31.5329
0.7120,-31.5332,-31.5329
0.7160,-31.5327,-31.5329
0.7200,-31.5333,-31.5329
0.7240,-31.5327,-31.5329
0.7280,-31.5331,-31.5329
0.7320,-31.5327,-31.5329
0.7360,-31.5332,-31.5329
0.7400,-31.5326,-31.5329
0.7440,-31.5332,-31.5329
0.7480,-31.5327,-31.5329
0.7520,-31.5332,-31.5329
0.7560,-31.5327,-31.5329
0.7600,-31.5332,-31.5329
0.7640,-31.5327,-31.5329
0.7680,-31.5332,-31.5329
0.7720,-31.5327,-31.5329
0.7760,-31.5331,-31.5329
0.7800,-31.5327,-31.5329
0.7840,-31.5332,-31.5329
0.7880,-31.5327,-31.5329
0.7920,-31.5332,-31.5329
0.7960,-31.5327,-31.5329
0.8000,-31.5332,-31.5329
0.8040,-31.5327,-31.5329
0.8080,-31.5332,-31.5329
0.8120,-31.5327,-31.5329
0.8160,-31.5332,-31.5329
0.8200,-31.5326,-31.5329
0.8240,-31.5332,-31.5329
0.8280,-31.5327,-31.5329
0.8320,-31.5332,-31.5329
0.8360,-31.5327,-31.5329
0.8400,-31.5332,-31.5329
0.8440,-31.5327,-31.5329
0.8480,-31.5332,-31.5329
0.8520,-31.5328,-31.5329
0.8560,-31.5331,-31.5329
0.8600,-31.5327,-31.5329
0.8640,-31.5331,-31.5329
0.8680,-31.5327,-31.5329
0.8720,-31.5331,-31.5329
0.8760,-31.5327,-31.5329
0.8800,-31.5331,-31.5329
0.8840,-31.5328,-31.5329
0.8880,-31.5331,-31.5329
0.8920,-31.5327,-31.5329
0.8960,-31.5331,-31.5329
0.9000,-31.5327,-31.5329
0.9040,-31.5331,-31.5329
0.9080,-31.5328,-31.5329
0.9120,-31.5331,-31.5329
