t_rel_s,sim_joint3_deg,real_joint3_deg
0.0000,-119.3140,-119.3127
0.0040,-119.3140,-119.3127
0.0080,-119.3140,-119.3127
0.0120,-119.3140,-119.3127
0.0160,-119.3140,-119.3127
0.0200,-119.3140,-119.3127
0.0240,-119.3140,-119.3127
0.0280,-119.3140,-119.3127
0.0320,-119.3140,-119.3127
0.0360,-119.3140,-119.3127
0.0400,-119.3140,-119.3127
0.0440,-119.3140,-119.3127
0.0480,-119.3140,-119.3127
0.0520,-119.3140,-119.3127
0.0560,-119.3140,-119.3127
0.0600,-119.3140,-119.3127
0.0640,-119.3140,-119.3127
0.0680,-119.3140,-119.3127
0.0720,-119.3140,-119.3127
0.0760,-119.3140,-119.3127
0.0800,-119.3140,-119.3127
0.0840,-119.3140,-119.3127
0.0880,-119.3140,-119.3127
0.0920,-119.3140,-119.3127
0.0960,-119.3140,-119.3127
0.1000,-119.3140,-119.3127
0.1040,-119.3140,-119.3127
0.1080,-119.3140,-119.3127
0.1120,-119.3140,-119.3127
0.1160,-119.3140,-119.3127
0.1200,-119.3140,-119.3127
0.1240,-119.3140,-119.3127
0.1280,-119.3140,-119.3127
0.1320,-119.3140,-119.3127
0.1360,-119.3140,-119.3127
0.1400,-119.3140,-119.3127
0.1440,-119.3140,-119.3127
0.1480,-119.3140,-119.3127
0.1520,-119.3140,-119.3127
0.1560,-119.3140,-119.3127
0.1600,-119.3140,-119.3127
0.1640,-119.3140,-119.3127
0.1680,-119.3140,-119.3127
0.1720,-119.3140,-119.3127
0.1760,-119.3140,-119.3127
0.1800,-119.3140,-119.3127
0.1840,-119.3140,-119.3127
0.1880,-119.3140,-119.3127
0.1920,-119.3140,-119.3127
0.1960,-119.3140,-119.3127
0.2000,-119.3140,-119.3127
0.2040,-119.3140,-119.3127
0.2080,-119.3140,-119.3127
0.2120,-119.3140,-119.3127
0.2160,-119.3140,-119.3127
0.2200,-119.3140,-119.3127
0.2240,-119.3140,-119.3127
0.2280,-119.3140,-119.3127
0.2320,-119.3140,-119.3127
0.2360,-119.3140,-119.3127
0.2400,-119.3140,-119.3127
0.2440,-119.3140,-119.3127
0.2480,-119.3140,-119.3127
0.2520,-119.3140,-119.3127
0.2560,-119.3140,-119.3127
0.2600,-119.3140,-119.3127
0.2640,-119.3140,-119.3127
0.2680,-119.3140,-119.3127
0.2720,-119.3140,-119.3127
0.2760,-119.3140,-119.3127
0.2800,-119.3140,-119.3127
0.2840,-119.3140,-119.3127
0.2880,-119.3140,-119.3127
0.2920,-119.3140,-119.3127
0.2960,-119.3140,-119.3127
0.3000,-119.3140,-119.3127
0.3040,-119.3140,-119.3127
0.3080,-119.3140,-119.3127
0.3120,-119.3140,-119.3127
0.3160,-119.3140,-119.3127
0.3200,-119.3140,-119.3127
0.3240,-119.3140,-119.3127
0.3280,-119.3140,-119.3127
0.3320,-119.3140,-119.3127
0.3360,-119.3140,-119.3127
0.3400,-119.3140,-119.3127
0.3440,-119.3140,-119.3127
0.3480,-119.3140,-119.3127
0.3520,-119.3140,-119.3127
0.3560,-119.3140,-119.3127
0.3600,-119.3140,-119.3127
0.3640,-119.3140,-119.3127
0.3680,-119.3140,-119.3127
0.3720,-119.3140,-119.3127
0.3760,-119.3140,-119.3127
0.3800,-119.3140,-119.3127
0.3840,-119.3140,-119.3127
0.3880,-119.3140,-119.3127
0.3920,-119.3140,-119.3127
0.3960,-119.3140,-119.3127
0.4000,-119.3140,-119.3127
0.4040,-119.3140,-119.3127
0.4080,-119.3140,-119.3127
0.4120,-119.3140,-119.3127
0.4160,-119.3140,-119.3127
0.4200,-119.3140,-119.3127
0.4240,-119.3140,-119.3127
0.4280,-119.3140,-119.3127
0.4320,-119.3140,-119.3127
0.4360,-119.3140,-119.3127
0.4400,-119.3140,-119.3127
0.4440,-119.3140,-119.3127
0.4480,-119.3140,-119.3127
0.4520,-119.3140,-119.3127
0.4560,-119.3140,-119.3127
0.4600,-119.3140,-119.3127
0.4640,-119.3140,-119.3127
0.4680,-119.3140,-119.3127
0.4720,-119.3140,-119.3127
0.4760,-119.3140,-119.3127
0.4800,-119.3140,-119.3127
0.4840,-119.3140,-119.3127
0.4880,-119.3140,-119.3127
0.4920,-119.3140,-119.3127
0.4960,-119.3140,-119.3127
0.5000,-119.3140,-119.3127
