t_mono_s,source,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad
4208.685871,sim,1.245853,0.313392,-2.425629,0.458617,-1.582249,-0.550362
4208.689458,sim,1.245846,0.313393,-2.425625,0.458634,-1.582265,-0.550344
4208.693369,sim,1.245853,0.313389,-2.425627,0.458620,-1.582251,-0.550361
4208.697268,sim,1.245846,0.313402,-2.425623,0.458637,-1.582278,-0.550342
4208.701421,sim,1.245853,0.313391,-2.425629,0.458617,-1.582247,-0.550363
4208.705540,sim,1.245846,0.313401,-2.425624,0.458636,-1.582273,-0.550342
4208.709311,sim,1.245853,0.313389,-2.425628,0.458619,-1.582250,-0.550361
4208.713257,sim,1.245846,0.313393,-2.425624,0.458635,-1.582268,-0.550344
4208.717334,sim,1.245852,0.313397,-2.425627,0.458620,-1.582256,-0.550360
4208.721250,sim,1.245846,0.313402,-2.425624,0.458635,-1.582273,-0.550342
4208.725420,sim,1.245853,0.313388,-2.425628,0.458619,-1.582249,-0.550362
4208.729318,sim,1.245846,0.313399,-2.425623,0.458637,-1.582275,-0.550343
4208.733450,sim,1.245853,0.313392,-2.425628,0.458619,-1.582251,-0.550361
4208.737313,sim,1.245846,0.313394,-2.425625,0.458633,-1.582265,-0.550344
4208.741282,sim,1.245853,0.313393,-2.425627,0.458621,-1.582255,-0.550359
4208.745345,sim,1.245847,0.313401,-2.425623,0.458637,-1.582277,-0.550342
4208.749307,sim,1.245853,0.313390,-2.425629,0.458617,-1.582247,-0.550363
4208.753331,sim,1.245846,0.313401,-2.425624,0.458636,-1.582273,-0.550342
4208.757233,sim,1.245853,0.313389,-2.425628,0.458619,-1.582250,-0.550361
4208.761286,sim,1.245846,0.313399,-2.425623,0.458637,-1.582275,-0.550343
4208.765433,sim,1.245853,0.313390,-2.425628,0.458618,-1.582248,-0.550362
4208.769270,sim,1.245846,0.313395,-2.425625,0.458634,-1.582265,-0.550344
4208.773259,sim,1.245853,0.313390,-2.425627,0.458620,-1.582251,-0.550361
4208.777340,sim,1.245846,0.313400,-2.425623,0.458637,-1.582276,-0.550342
4208.781409,sim,1.245853,0.313391,-2.425629,0.458617,-1.582248,-0.550362
4208.785398,sim,1.245846,0.313401,-2.425624,0.458636,-1.582274,-0.550341
4208.789306,sim,1.245853,0.313390,-2.425628,0.458619,-1.582250,-0.550361
4208.793473,sim,1.245846,0.313401,-2.425623,0.458637,-1.582278,-0.550342
