t_rel_s,t_unix,cycle,phase,setpoint_n,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0135,1783971629.8870,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63045,1.05901,1.57084,0.11671,-0.12761,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0341,1783971629.9076,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63045,1.05901,1.57084,0.11671,-0.12761,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0344,1783971629.9079,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63045,1.05901,1.57084,0.11671,-0.12761,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0396,1783971629.9131,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63045,1.05901,1.57084,0.11671,-0.12761,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0400,1783971629.9135,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63045,1.05901,1.57084,0.11671,-0.12761,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0445,1783971629.9180,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63045,1.05901,1.57084,0.11672,-0.12761,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0604,1783971629.9339,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63047,1.05903,1.57083,0.11673,-0.12762,-0.48156,0.03740,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0607,1783971629.9342,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63047,1.05903,1.57083,0.11673,-0.12762,-0.48156,0.03740,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0611,1783971629.9346,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63047,1.05903,1.57083,0.11673,-0.12762,-0.48156,0.03740,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0688,1783971629.9422,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63049,1.05904,1.57082,0.11673,-0.12762,-0.48155,0.03740,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0781,1783971629.9516,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63050,1.05905,1.57081,0.11674,-0.12763,-0.48154,0.03739,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0784,1783971629.9519,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63050,1.05905,1.57081,0.11674,-0.12763,-0.48154,0.03739,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0989,1783971629.9724,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0994,1783971629.9729,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0997,1783971629.9732,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1321,1783971630.0056,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1324,1783971630.0059,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1328,1783971630.0063,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1521,1783971630.0256,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1748,1783971630.0483,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1751,1783971630.0486,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1755,1783971630.0490,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2046,1783971630.0781,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2049,1783971630.0784,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2415,1783971630.1150,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2418,1783971630.1153,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
