t_rel_s,t_unix,cycle,phase,setpoint_n,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0281,1783956729.5121,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63059,1.05901,1.57082,0.11673,-0.12763,-0.48146,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0289,1783956729.5129,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63059,1.05901,1.57082,0.11673,-0.12763,-0.48146,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0297,1783956729.5137,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63059,1.05901,1.57082,0.11673,-0.12763,-0.48146,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0301,1783956729.5141,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63059,1.05901,1.57082,0.11673,-0.12763,-0.48146,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0314,1783956729.5154,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63059,1.05901,1.57082,0.11673,-0.12763,-0.48146,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0318,1783956729.5158,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63059,1.05901,1.57082,0.11673,-0.12763,-0.48146,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0410,1783956729.5250,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63059,1.05901,1.57082,0.11673,-0.12763,-0.48146,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0413,1783956729.5253,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63059,1.05901,1.57082,0.11673,-0.12763,-0.48146,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0595,1783956729.5435,1,0,1.0000,-0.0000,1.42244,0.00072,-2.63058,1.05902,1.57082,0.11674,-0.12763,-0.48148,0.03736,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0713,1783956729.5553,1,0,1.0000,-0.0000,1.42244,0.00071,-2.63056,1.05904,1.57081,0.11674,-0.12763,-0.48150,0.03737,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
