t_rel_s,t_unix,cycle,phase,setpoint_n,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0091,1783966841.3560,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63046,1.05906,1.57084,0.11671,-0.12761,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0182,1783966841.3652,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63046,1.05906,1.57084,0.11671,-0.12761,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0241,1783966841.3710,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63046,1.05906,1.57084,0.11671,-0.12761,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0343,1783966841.3813,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63047,1.05906,1.57084,0.11672,-0.12762,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0579,1783966841.4048,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63051,1.05906,1.57081,0.11674,-0.12763,-0.48154,0.03739,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0583,1783966841.4052,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63051,1.05906,1.57081,0.11674,-0.12763,-0.48154,0.03739,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0586,1783966841.4056,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63051,1.05906,1.57081,0.11674,-0.12763,-0.48154,0.03739,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0669,1783966841.4139,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63052,1.05906,1.57080,0.11675,-0.12763,-0.48153,0.03739,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0674,1783966841.4143,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63052,1.05906,1.57080,0.11675,-0.12763,-0.48153,0.03739,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0720,1783966841.4190,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63052,1.05907,1.57080,0.11675,-0.12763,-0.48153,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0724,1783966841.4193,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63052,1.05907,1.57080,0.11675,-0.12763,-0.48153,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0824,1783966841.4293,1,0,3.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
