t_rel_s,t_unix,cycle,phase,setpoint_n,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0046,1783187285.4908,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0174,1783187285.5036,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0211,1783187285.5073,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0325,1783187285.5187,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0435,1783187285.5297,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0599,1783187285.5461,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0648,1783187285.5510,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0703,1783187285.5565,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0832,1783187285.5694,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0917,1783187285.5779,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1024,1783187285.5886,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1112,1783187285.5974,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1205,1783187285.6067,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1315,1783187285.6177,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1405,1783187285.6267,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1613,1783187285.6475,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1621,1783187285.6483,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1712,1783187285.6574,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1809,1783187285.6671,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1813,1783187285.6675,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1903,1783187285.6765,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2024,1783187285.6886,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2027,1783187285.6889,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2136,1783187285.6998,1,0,1.0000,0.0000,1.44682,0.23328,-2.77748,0.97337,1.57080,0.00000,-0.14512,-0.38002,0.04652,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
