t_rel_s,t_unix,cycle,phase,setpoint_n,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0041,1783957989.0371,1,0,6.0000,0.0000,1.42244,0.00072,-2.63059,1.05903,1.57082,0.11673,-0.12763,-0.48147,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0108,1783957989.0438,1,0,6.0000,0.0000,1.42244,0.00072,-2.63059,1.05903,1.57082,0.11673,-0.12763,-0.48147,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0179,1783957989.0509,1,0,6.0000,0.0000,1.42244,0.00072,-2.63059,1.05903,1.57082,0.11673,-0.12763,-0.48147,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0278,1783957989.0608,1,0,6.0000,0.0000,1.42244,0.00072,-2.63059,1.05903,1.57082,0.11673,-0.12763,-0.48147,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0499,1783957989.0829,1,0,6.0000,0.0000,1.42244,0.00072,-2.63058,1.05904,1.57082,0.11673,-0.12763,-0.48148,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0502,1783957989.0833,1,0,6.0000,0.0000,1.42244,0.00072,-2.63058,1.05904,1.57082,0.11673,-0.12763,-0.48148,0.03735,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0596,1783957989.0927,1,0,6.0000,0.0000,1.42244,0.00072,-2.63057,1.05904,1.57082,0.11674,-0.12763,-0.48149,0.03736,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0697,1783957989.1027,1,0,6.0000,0.0000,1.42244,0.00071,-2.63056,1.05905,1.57081,0.11674,-0.12763,-0.48150,0.03737,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0805,1783957989.1136,1,0,6.0000,0.0000,1.42244,0.00071,-2.63055,1.05906,1.57080,0.11675,-0.12763,-0.48151,0.03737,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0936,1783957989.1266,1,0,6.0000,0.0000,1.42244,0.00071,-2.63053,1.05906,1.57080,0.11675,-0.12763,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
