t_rel_s,t_unix,cycle,phase,setpoint_n,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0084,1783369699.4277,1,0,1.0000,0.0000,1.42056,0.14184,-2.66683,1.00243,1.56169,0.11674,-0.13246,-0.45916,0.07213,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0255,1783369699.4448,1,0,1.0000,0.0000,1.42048,0.14182,-2.66687,1.00224,1.56192,0.11692,-0.13239,-0.45909,0.07206,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0261,1783369699.4454,1,0,1.0000,0.0000,1.42048,0.14182,-2.66687,1.00224,1.56192,0.11692,-0.13239,-0.45909,0.07206,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0319,1783369699.4512,1,0,1.0000,0.0000,1.42056,0.14181,-2.66684,1.00244,1.56169,0.11674,-0.13246,-0.45915,0.07210,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0328,1783369699.4520,1,0,1.0000,0.0000,1.42056,0.14181,-2.66684,1.00244,1.56169,0.11674,-0.13246,-0.45915,0.07210,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0336,1783369699.4528,1,0,1.0000,0.0000,1.42047,0.14181,-2.66687,1.00224,1.56192,0.11692,-0.13239,-0.45908,0.07205,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0436,1783369699.4629,1,0,1.0000,0.0000,1.42047,0.14181,-2.66688,1.00223,1.56193,0.11692,-0.13238,-0.45907,0.07204,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0484,1783369699.4677,1,0,1.0000,0.0000,1.42056,0.14181,-2.66685,1.00244,1.56169,0.11673,-0.13246,-0.45914,0.07210,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0593,1783369699.4786,1,0,1.0000,0.0000,1.42048,0.14183,-2.66689,1.00224,1.56193,0.11691,-0.13238,-0.45907,0.07205,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0880,1783369699.5072,1,0,1.0000,0.0000,1.42056,0.14185,-2.66686,1.00244,1.56170,0.11672,-0.13246,-0.45914,0.07211,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0887,1783369699.5080,1,0,1.0000,0.0000,1.42056,0.14185,-2.66686,1.00244,1.56170,0.11672,-0.13246,-0.45914,0.07211,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0941,1783369699.5134,1,0,1.0000,0.0000,1.42056,0.14185,-2.66686,1.00244,1.56171,0.11672,-0.13246,-0.45914,0.07211,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0992,1783369699.5185,1,0,1.0000,0.0000,1.42047,0.14185,-2.66689,1.00224,1.56193,0.11691,-0.13238,-0.45907,0.07206,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
