t_rel_s,t_unix,cycle,phase,setpoint_n,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0008,1783720817.7700,0,-1,1.0000,0.0000,1.42052,0.14185,-2.66690,0.95423,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0222,1783720817.7914,1,0,1.0000,0.0000,1.42052,0.14185,-2.66690,0.95423,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0225,1783720817.7917,1,0,1.0000,0.0000,1.42052,0.14185,-2.66690,0.95423,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0253,1783720817.7945,1,0,1.0000,0.0000,1.42052,0.14185,-2.66690,0.95423,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0360,1783720817.8052,1,0,1.0000,0.0000,1.42052,0.14185,-2.66690,0.95423,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0363,1783720817.8055,1,0,1.0000,0.0000,1.42052,0.14185,-2.66690,0.95423,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0422,1783720817.8114,1,0,1.0000,0.0000,1.42052,0.14185,-2.66690,0.95423,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0492,1783720817.8184,1,0,1.0000,0.0000,1.42052,0.14185,-2.66690,0.95423,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0496,1783720817.8188,1,0,1.0000,0.0000,1.42052,0.14185,-2.66690,0.95423,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0583,1783720817.8275,1,0,1.0000,0.0000,1.42052,0.14185,-2.66689,0.95422,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0764,1783720817.8456,1,0,1.0000,0.0000,1.42052,0.14185,-2.66688,0.95420,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0826,1783720817.8518,1,0,1.0000,0.0000,1.42052,0.14185,-2.66688,0.95419,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0882,1783720817.8574,1,0,1.0000,0.0000,1.42052,0.14185,-2.66688,0.95418,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0996,1783720817.8688,1,0,1.0000,0.0000,1.42052,0.14185,-2.66687,0.95417,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0999,1783720817.8691,1,0,1.0000,0.0000,1.42052,0.14185,-2.66687,0.95417,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1084,1783720817.8776,1,0,1.0000,0.0000,1.42052,0.14185,-2.66687,0.95417,1.57080,0.11682,-0.13197,-0.44703,0.06308,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
