t_rel_s,t_unix,cycle,phase,setpoint_n,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0182,1783965965.6760,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63046,1.05905,1.57084,0.11672,-0.12762,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0186,1783965965.6765,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63046,1.05905,1.57084,0.11672,-0.12762,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0191,1783965965.6769,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63046,1.05905,1.57084,0.11672,-0.12762,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0195,1783965965.6774,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63046,1.05905,1.57084,0.11672,-0.12762,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0237,1783965965.6815,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63046,1.05905,1.57084,0.11672,-0.12762,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0240,1783965965.6818,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63046,1.05905,1.57084,0.11672,-0.12762,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0308,1783965965.6887,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63046,1.05905,1.57084,0.11672,-0.12762,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0312,1783965965.6890,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63046,1.05905,1.57084,0.11672,-0.12762,-0.48157,0.03741,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0477,1783965965.7055,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63048,1.05906,1.57082,0.11673,-0.12762,-0.48155,0.03740,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0544,1783965965.7123,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63050,1.05906,1.57082,0.11674,-0.12763,-0.48154,0.03739,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0647,1783965965.7225,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63051,1.05906,1.57081,0.11674,-0.12763,-0.48153,0.03739,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0746,1783965965.7325,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12763,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0817,1783965965.7396,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0820,1783965965.7399,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1132,1783965965.7711,1,0,2.0000,-0.0000,1.42244,0.00071,-2.63053,1.05907,1.57080,0.11675,-0.12764,-0.48152,0.03738,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
