t_rel_s,t_unix,cycle,phase,setpoint_n,force_net_n,q1,q2,q3,q4,q5,q6,tcp_x,tcp_y,tcp_z,taxel_0,taxel_1,taxel_2,taxel_3,taxel_4,taxel_5,taxel_6,taxel_7,taxel_8,taxel_9,taxel_10,taxel_11,taxel_12,taxel_13,taxel_14,taxel_15,taxel_16,taxel_17,taxel_18,taxel_19,taxel_20,taxel_21,taxel_22,taxel_23,taxel_24,n_RA,n_SA,cn_mm,cn_ra,cn_sa
0.0009,1783718943.1815,0,-1,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0408,1783718943.2213,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0412,1783718943.2217,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0414,1783718943.2220,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0421,1783718943.2227,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0532,1783718943.2338,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0623,1783718943.2428,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0698,1783718943.2503,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0905,1783718943.2710,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0913,1783718943.2719,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.0916,1783718943.2722,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1131,1783718943.2937,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1159,1783718943.2964,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1162,1783718943.2968,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1317,1783718943.3122,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1325,1783718943.3130,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1329,1783718943.3134,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1427,1783718943.3233,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.1928,1783718943.3733,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2019,1783718943.3824,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2024,1783718943.3829,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2027,1783718943.3833,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2109,1783718943.3914,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2190,1783718943.3995,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2471,1783718943.4276,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2475,1783718943.4280,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2493,1783718943.4299,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2647,1783718943.4452,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.2651,1783718943.4456,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3144,1783718943.4949,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3148,1783718943.4953,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3153,1783718943.4958,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3191,1783718943.4996,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3312,1783718943.5117,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3462,1783718943.5268,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3556,1783718943.5362,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3560,1783718943.5365,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3625,1783718943.5430,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3628,1783718943.5433,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3698,1783718943.5503,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3797,1783718943.5602,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.3800,1783718943.5606,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.4303,1783718943.6108,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.4305,1783718943.6110,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.4311,1783718943.6117,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.4314,1783718943.6119,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.4391,1783718943.6197,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.4509,1783718943.6314,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.4694,1783718943.6499,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.4869,1783718943.6674,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.4906,1783718943.6711,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.5031,1783718943.6836,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.5034,1783718943.6839,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.5160,1783718943.6965,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.5543,1783718943.7348,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.5548,1783718943.7353,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.5551,1783718943.7357,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.5605,1783718943.7410,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.5609,1783718943.7415,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.5742,1783718943.7547,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.5796,1783718943.7602,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.5799,1783718943.7604,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.6000,1783718943.7806,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.6095,1783718943.7900,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.6151,1783718943.7957,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.6259,1783718943.8065,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.6264,1783718943.8069,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.6718,1783718943.8523,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.6722,1783718943.8528,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
0.6727,1783718943.8532,1,0,1.0000,0.0000,1.42052,0.14185,-2.66700,0.95410,1.57079,0.11681,-0.13199,-0.44693,0.06301,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
